V1,V2,V4,filter_$,VAR00002,hour
A63391,1000019,10/17/2014,1,0,11
D48777,1000019,10/17/2014,1,0,11
B55325,1000019,10/17/2014,1,0,11
B61079,1000019,10/17/2014,1,0,11
B79096,1000019,10/17/2014,1,0,11
A20665,1000019,10/17/2014,1,0,11
A76888,1000019,10/17/2014,1,0,11
D67575,1000019,10/17/2014,1,0,11
B61554,1000019,10/17/2014,1,0,11
B75060,1000019,10/17/2014,1,0,11
B75885,1000019,10/17/2014,1,0,11
B76228,1000019,10/17/2014,1,0,11
B61990,1000019,10/17/2014,1,0,11
D55974,1000019,10/17/2014,1,0,11
E49365,1000019,10/17/2014,1,0,11
E78560,1000019,10/17/2014,1,0,11
D76445,1000019,10/17/2014,1,0,11
D76445,1000019,10/17/2014,1,0,11
B61079,1000019,10/17/2014,1,0,11
