V1,V2,V4,filter_$,VAR00002,hour
B75528,1000233,10/17/2014,1,3,7
B71369,1000233,10/17/2014,1,3,7
A24888,1000233,10/17/2014,1,3,7
D29774,1000233,10/17/2014,1,3,7
D71780,1000233,10/17/2014,1,3,7
B71369,1000233,10/17/2014,1,3,7
D67599,1000233,10/17/2014,1,3,7
B56134,1000233,10/17/2014,1,3,7
C30783,1000233,10/17/2014,1,3,7
C75561,1000233,10/17/2014,1,3,7
E42685,1000233,10/17/2014,1,3,7
E57414,1000233,10/17/2014,1,3,7
D78522,1000233,10/17/2014,1,3,7
E57414,1000233,10/17/2014,1,3,7
E59626,1000233,10/17/2014,1,3,7
B71909,1000233,10/17/2014,1,3,7
A42455,1000233,10/17/2014,1,3,7
A75127,1000233,10/17/2014,1,3,7
B74046,1000233,10/17/2014,1,3,7
A53634,1000233,10/17/2014,1,3,7
D71780,1000233,10/17/2014,1,3,7
E61302,1000233,10/17/2014,1,3,7
A61785,1000233,10/17/2014,1,3,7
D43023,1000233,10/17/2014,1,3,7
D79122,1000233,10/17/2014,1,3,7
B25033,1000233,10/17/2014,1,3,7
B63436,1000233,10/17/2014,1,3,7
E67676,1000233,10/17/2014,1,3,7
A68228,1000232,10/17/2014,1,3,7
B57572,1000233,10/17/2014,1,3,7
D79122,1000233,10/17/2014,1,3,7
B61403,1000233,10/17/2014,1,3,7
B64929,1000233,10/17/2014,1,3,7
E55238,1000233,10/17/2014,1,3,7
E76791,1000233,10/17/2014,1,3,7
A67784,1000233,10/17/2014,1,3,7
B25033,1000233,10/17/2014,1,3,7
A39400,1000233,10/17/2014,1,3,7
A71105,1000233,10/17/2014,1,3,7
C60238,1000233,10/17/2014,1,3,7
E75541,1000233,10/17/2014,1,3,7
D79295,1000233,10/17/2014,1,3,7
E24703,1000233,10/17/2014,1,3,7
E57550,1000233,10/17/2014,1,3,7
D62012,1000233,10/17/2014,1,3,7
E41042,1000233,10/17/2014,1,3,7
C60151,1000233,10/17/2014,1,3,7
D70060,1000233,10/17/2014,1,3,7
D79295,1000233,10/17/2014,1,3,7
E45778,1000233,10/17/2014,1,3,7
A51007,1000233,10/17/2014,1,3,7
C32047,1000233,10/17/2014,1,3,7
C76955,1000233,10/17/2014,1,3,7
D59313,1000233,10/17/2014,1,3,7
D62012,1000233,10/17/2014,1,3,7
D69877,1000233,10/17/2014,1,3,7
B61403,1000233,10/17/2014,1,3,7
B73618,1000233,10/17/2014,1,3,7
B76658,1000233,10/17/2014,1,3,7
C49161,1000233,10/17/2014,1,3,7
E77669,1000233,10/17/2014,1,3,7
E66970,1000233,10/17/2014,1,3,7
E76791,1000233,10/17/2014,1,3,7
E55238,1000233,10/17/2014,1,3,7
A66173,1000233,10/17/2014,1,3,7
A79270,1000233,10/17/2014,1,3,7
B46975,1000233,10/17/2014,1,3,7
D77655,1000233,10/17/2014,1,3,7
D77375,1000233,10/17/2014,1,3,7
B71909,1000233,10/17/2014,1,3,7
C44550,1000233,10/17/2014,1,3,7
A71787,1000233,10/17/2014,1,3,7
C78978,1000233,10/17/2014,1,3,7
D64388,1000233,10/17/2014,1,3,7
B75623,1000233,10/17/2014,1,3,7
B71191,1000233,10/17/2014,1,3,7
